Time,Distance_cm,Water_Percent,Pump
11:39:51,2,90,OFF
11:39:51,2,90,OFF
11:39:52,2,90,OFF
11:39:52,2,90,OFF
11:39:52,2,90,OFF
11:39:53,3,85,OFF
11:39:53,2,90,OFF
11:39:53,2,90,OFF
11:39:54,2,90,OFF
11:39:54,2,90,OFF
11:39:54,2,90,OFF
11:39:55,2,90,OFF
11:39:55,2,90,OFF
11:39:55,2,90,OFF
11:39:56,2,90,OFF
11:39:56,2,90,OFF
11:39:56,2,90,OFF
11:39:57,5,75,OFF
11:39:57,8,60,OFF
11:39:57,10,50,OFF
11:39:58,11,45,OFF
11:39:58,12,40,OFF
11:39:58,13,35,OFF
11:39:58,15,25,ON
11:39:59,15,25,ON
11:39:59,14,30,ON
11:39:59,14,30,ON
11:40:00,15,25,ON
11:40:00,16,20,ON
11:40:00,17,15,ON
11:40:01,18,10,ON
11:40:01,19,5,ON
11:40:01,20,0,ON
11:40:02,44,0,ON
11:40:02,44,0,ON
11:40:02,44,0,ON
11:40:03,44,0,ON
11:40:03,24,0,ON
11:40:03,44,0,ON
11:40:04,44,0,ON
11:40:04,44,0,ON
11:40:04,20,0,ON
11:40:05,43,0,ON
11:40:05,21,0,ON
11:40:05,22,0,ON
11:40:06,43,0,ON
11:40:06,15,25,ON
11:40:06,13,35,ON
11:40:07,11,45,ON
11:40:07,9,55,ON
11:40:08,10,50,ON
11:40:08,9,55,ON
11:40:08,8,60,ON
11:40:09,8,60,ON
11:40:09,8,60,ON
11:40:09,8,60,ON
11:40:10,7,65,ON
11:40:10,6,70,ON
11:40:10,6,70,ON
11:40:11,5,75,ON
11:40:11,4,80,ON
11:40:11,5,75,ON
11:40:12,4,80,ON
11:40:12,5,75,ON
11:40:13,5,75,ON
11:40:13,5,75,ON
11:40:13,5,75,ON
11:40:14,5,75,ON
11:40:14,5,75,ON
11:40:15,5,75,ON
11:40:15,5,75,ON
11:40:15,5,75,ON
11:40:16,5,75,ON
11:40:16,5,75,ON
11:40:17,5,75,ON
11:40:17,5,75,ON
11:40:17,5,75,ON
11:40:18,5,75,ON
11:40:18,5,75,ON
11:40:19,5,75,ON
11:40:19,4,80,ON
11:40:19,3,85,ON
11:40:20,4,80,ON
11:40:20,4,80,ON
11:40:21,4,80,ON
11:40:21,4,80,ON
11:40:22,4,80,ON
11:40:22,5,75,ON
11:40:23,5,75,ON
11:40:23,5,75,ON
11:40:24,5,75,ON
11:40:24,5,75,ON
11:40:24,5,75,ON
11:40:24,5,75,ON
11:40:25,5,75,ON
11:40:25,5,75,ON
11:40:25,5,75,ON
11:40:25,5,75,ON
11:40:26,5,75,ON
11:40:26,5,75,ON
11:40:26,5,75,ON
11:40:26,5,75,ON
11:40:27,5,75,ON
11:40:27,5,75,ON
11:40:27,5,75,ON
11:40:27,5,75,ON
11:40:28,4,80,ON
11:40:28,43,0,ON
11:40:28,43,0,ON
11:40:28,42,0,ON
11:40:28,7,65,ON
11:40:29,6,70,ON
11:40:29,10,50,ON
11:40:29,9,55,ON
11:40:29,11,45,ON
11:40:30,11,45,ON
11:40:30,11,45,ON
11:40:30,12,40,ON
11:40:30,12,40,ON
11:40:31,13,35,ON
11:40:31,12,40,ON
11:40:31,11,45,ON
11:40:31,11,45,ON
11:40:32,11,45,ON
11:40:32,10,50,ON
11:40:32,10,50,ON
11:40:33,10,50,ON
11:40:33,10,50,ON
11:40:34,10,50,ON
11:40:34,10,50,ON
11:40:34,10,50,ON
11:40:34,10,50,ON
11:40:35,11,45,ON
11:40:35,11,45,ON
11:40:35,10,50,ON
11:40:36,10,50,ON
11:40:36,10,50,ON
11:40:36,10,50,ON
11:40:37,10,50,ON
11:40:37,10,50,ON
11:40:37,10,50,ON
11:40:38,10,50,ON
11:40:38,10,50,ON
11:40:39,10,50,ON
11:40:39,10,50,ON
11:40:39,10,50,ON
11:40:39,10,50,ON
11:40:40,10,50,ON
11:40:40,10,50,ON
11:40:40,10,50,ON
11:40:41,10,50,ON
11:40:41,10,50,ON
11:40:41,10,50,ON
11:40:42,10,50,ON
11:40:42,10,50,ON
11:40:42,10,50,ON
11:40:43,10,50,ON
11:40:43,10,50,ON
11:40:43,10,50,ON
11:40:44,10,50,ON
11:40:44,10,50,ON
11:40:44,10,50,ON
11:40:45,10,50,ON
11:40:45,10,50,ON
11:40:45,10,50,ON
11:40:46,10,50,ON
11:40:46,10,50,ON
11:40:46,10,50,ON
11:40:47,10,50,ON
11:40:47,10,50,ON
11:40:47,10,50,ON
11:40:48,10,50,ON
11:40:48,10,50,ON
11:40:48,10,50,ON
11:40:49,10,50,ON
11:40:49,10,50,ON
11:40:49,11,45,ON
11:40:49,10,50,ON
11:40:50,10,50,ON
11:40:50,10,50,ON
11:40:50,10,50,ON
11:40:51,10,50,ON
11:40:51,10,50,ON
11:40:51,10,50,ON
11:40:52,10,50,ON
11:40:52,11,45,ON
11:40:52,10,50,ON
11:40:53,10,50,ON
11:40:53,10,50,ON
11:40:53,10,50,ON
11:40:54,10,50,ON
11:40:54,10,50,ON
11:40:54,10,50,ON
11:40:55,10,50,ON
11:40:55,10,50,ON
11:40:55,10,50,ON
11:40:56,10,50,ON
11:40:56,10,50,ON
11:40:56,10,50,ON
11:40:57,10,50,ON
11:40:57,10,50,ON
11:40:57,10,50,ON
11:40:58,10,50,ON
11:40:58,10,50,ON
11:40:58,10,50,ON
11:40:59,10,50,ON
11:40:59,10,50,ON
11:40:59,10,50,ON
11:41:00,10,50,ON
11:41:00,10,50,ON
11:41:00,10,50,ON
